order_year,order_month,year_month,total_revenue,total_cost_price,total_profit,least_revenue_month_of_the_year,least_revenue_of_the_year,highest_revenue_month_of_the_year,highest_revenue_of_the_year,previous_month_profit,month_over_month_growth_percentage
2019,1,2019-01,502.31000185012817,251.35421044909668,250.95579140103149,1,502.31000185012817,10,18593.050021767616,,
2019,2,2019-02,1876.6199979782104,913.57994017572048,963.04005780248986,1,502.31000185012817,10,18593.050021767616,250.95579140103149,283.75
2019,3,2019-03,3857.4599924087524,1852.2129779625002,2005.2470144462527,1,502.31000185012817,10,18593.050021767616,963.04005780248986,108.22
2019,4,2019-04,7712.10000038147,3671.2327195054604,4040.8672808760093,1,502.31000185012817,10,18593.050021767616,2005.2470144462527,101.51
2019,5,2019-05,9352.37997174263,4554.2652166734633,4798.1147550691667,1,502.31000185012817,10,18593.050021767616,4040.8672808760093,18.74
2019,6,2019-06,8422.97004032135,4073.3146614712682,4349.6553788500814,1,502.31000185012817,10,18593.050021767616,4798.1147550691667,-9.35
2019,7,2019-07,10964.420001029968,5172.79326428814,5791.6267367418286,1,502.31000185012817,10,18593.050021767616,4349.6553788500814,33.15
2019,8,2019-08,10848.330033779144,5157.40914854997,5690.9208852291731,1,502.31000185012817,10,18593.050021767616,5791.6267367418286,-1.74
2019,9,2019-09,10180.110008478165,4885.2279872239624,5294.8820212542023,1,502.31000185012817,10,18593.050021767616,5690.9208852291731,-6.96
2019,10,2019-10,18593.050021767616,8958.8116887721135,9634.238332995501,1,502.31000185012817,10,18593.050021767616,5294.8820212542023,81.95
2019,11,2019-11,15600.490040779114,7606.2401198802236,7994.24992089889,1,502.31000185012817,10,18593.050021767616,9634.238332995501,-17.02
2019,12,2019-12,15793.260015249252,7615.6204040585508,8177.6396111907006,1,502.31000185012817,10,18593.050021767616,7994.24992089889,2.29
2020,1,2020-01,20183.030019283295,9756.4750486702214,10426.554970613073,1,20183.030019283295,11,49195.699945926666,,
2020,2,2020-02,22984.660022258759,10957.321017471422,12027.339004787336,1,20183.030019283295,11,49195.699945926666,10426.554970613073,15.35
2020,3,2020-03,26206.870037317276,12726.471736284499,13480.398301032774,1,20183.030019283295,11,49195.699945926666,12027.339004787336,12.08
2020,4,2020-04,24213.290037155151,12056.509168910779,12156.780868244372,1,20183.030019283295,11,49195.699945926666,13480.398301032774,-9.82
2020,5,2020-05,26448.71001458168,12925.317284480403,13523.392730101277,1,20183.030019283295,11,49195.699945926666,12156.780868244372,11.24
2020,6,2020-06,33365.370061397552,15990.263555016169,17375.106506381388,1,20183.030019283295,11,49195.699945926666,13523.392730101277,28.48
2020,7,2020-07,35783.220051050186,17079.828887908247,18703.39116314194,1,20183.030019283295,11,49195.699945926666,17375.106506381388,7.64
2020,8,2020-08,39076.820019006729,18864.046510948952,20212.773508057777,1,20183.030019283295,11,49195.699945926666,18703.39116314194,8.07
2020,9,2020-09,41260.850028038025,19944.922856132405,21315.927171905616,1,20183.030019283295,11,49195.699945926666,20212.773508057777,5.46
2020,10,2020-10,37431.860091686249,17855.068575467005,19576.791516219244,1,20183.030019283295,11,49195.699945926666,21315.927171905616,-8.16
2020,11,2020-11,49195.699945926666,23397.74590787851,25797.954038048159,1,20183.030019283295,11,49195.699945926666,19576.791516219244,31.78
2020,12,2020-12,43532.110085010529,20917.329480276545,22614.780604733984,1,20183.030019283295,11,49195.699945926666,25797.954038048159,-12.34
2021,1,2021-01,48722.430022954941,23629.727824358404,25092.702198596544,2,43202.520033597946,12,71406.6600625515,,
2021,2,2021-02,43202.520033597946,21004.33791373438,22198.182119863559,2,43202.520033597946,12,71406.6600625515,25092.702198596544,-11.54
2021,3,2021-03,49852.230076551437,24183.5514870791,25668.678589472333,2,43202.520033597946,12,71406.6600625515,22198.182119863559,15.63
2021,4,2021-04,45310.040041446686,22237.635123857937,23072.404917588752,2,43202.520033597946,12,71406.6600625515,25668.678589472333,-10.11
2021,5,2021-05,62515.9100420475,29847.640660131681,32668.269381915819,2,43202.520033597946,12,71406.6600625515,23072.404917588752,41.59
2021,6,2021-06,58715.190045595169,28353.993626700369,30361.196418894793,2,43202.520033597946,12,71406.6600625515,32668.269381915819,-7.06
2021,7,2021-07,55492.800079107285,26617.321050033843,28875.479029073449,2,43202.520033597946,12,71406.6600625515,30361.196418894793,-4.89
2021,8,2021-08,60586.440086364746,29120.051557860814,31466.388528503929,2,43202.520033597946,12,71406.6600625515,28875.479029073449,8.97
2021,9,2021-09,60139.679997682571,29006.997923480274,31132.682074202294,2,43202.520033597946,12,71406.6600625515,31466.388528503929,-1.06
2021,10,2021-10,59213.320067763329,28727.469106633904,30485.850961129425,2,43202.520033597946,12,71406.6600625515,31132.682074202294,-2.08
2021,11,2021-11,68983.6899561882,33163.0914091867,35820.5985470015,2,43202.520033597946,12,71406.6600625515,30485.850961129425,17.5
2021,12,2021-12,71406.6600625515,34583.5007114612,36823.159351090289,2,43202.520033597946,12,71406.6600625515,35820.5985470015,2.8
2022,1,2022-01,78141.950101614,37773.15887077045,40368.791230843548,2,70190.049992799759,11,111681.64008188248,,
2022,2,2022-02,70190.049992799759,33623.805025993839,36566.244966805905,2,70190.049992799759,11,111681.64008188248,40368.791230843548,-9.42
2022,3,2022-03,80497.740032196045,38791.674250644675,41706.065781551377,2,70190.049992799759,11,111681.64008188248,36566.244966805905,14.06
2022,4,2022-04,84022.830086708069,40266.026009671376,43756.804077036686,2,70190.049992799759,11,111681.64008188248,41706.065781551377,4.92
2022,5,2022-05,89788.520076990128,42973.724749483044,46814.7953275071,2,70190.049992799759,11,111681.64008188248,43756.804077036686,6.99
