ItemID,Category,ItemName,Vendor,Location,Status,Quantity,UnitCost,TotalValue,ReorderPoint,ReorderQuantity,LeadTimeDays,LastOrderDate,PurchaseDate,WarrantyMonths,Department
ITEM1000,Laptops,LG Laptops 8552,LG,Branch-NY,In Stock,43,340,14620,24,40,31,2024-02-28,2022-04-06,36,Engineering
ITEM1001,Laptops,ASUS Laptops 4444,ASUS,Remote-Stock,Under Repair,98,594,58212,12,48,6,2024-04-12,2024-09-29,36,Marketing
ITEM1002,Laptops,Apple Laptops 2118,Apple,HQ-Warehouse,In Transit,70,1888,132160,14,56,11,2024-07-11,2024-02-18,24,Marketing
ITEM1003,Laptops,Microsoft Laptops 8668,Microsoft,Branch-LA,In Transit,20,248,4960,14,53,26,2024-01-31,2024-04-21,36,Engineering
ITEM1004,Laptops,Dell Laptops 7425,Dell,HQ-Warehouse,Under Repair,6,621,3726,13,66,11,2024-08-13,2022-03-04,48,HR
ITEM1005,Laptops,LG Laptops 1096,LG,Branch-LA,In Stock,39,132,5148,7,26,33,2024-05-28,2024-02-12,36,HR
ITEM1006,Laptops,LG Laptops 5488,LG,Branch-LA,Obsolete,15,807,12105,19,29,27,2024-08-09,2022-08-31,12,Operations
ITEM1007,Laptops,Logitech Laptops 4874,Logitech,Branch-Chicago,Under Repair,69,492,33948,23,69,16,2024-08-15,2022-11-28,12,Engineering
ITEM1008,Laptops,Cisco Laptops 9466,Cisco,Branch-Chicago,In Transit,2,1955,3910,24,58,15,2024-08-14,2023-11-14,48,Marketing
ITEM1009,Laptops,ASUS Laptops 8261,ASUS,Branch-NY,In Stock,58,754,43732,8,45,15,2024-07-12,2024-08-28,48,HR
ITEM1010,Laptops,Microsoft Laptops 1848,Microsoft,Remote-Stock,In Transit,58,1790,103820,14,36,12,2024-10-19,2024-07-15,48,Operations
ITEM1011,Laptops,LG Laptops 2869,LG,Branch-LA,Under Repair,56,1285,71960,14,37,14,2024-08-12,2022-11-22,24,IT
ITEM1012,Laptops,Samsung Laptops 8249,Samsung,Branch-LA,Obsolete,98,1932,189336,20,27,7,2024-04-17,2022-10-06,48,HR
ITEM1013,Laptops,Apple Laptops 2763,Apple,Branch-Seattle,Obsolete,69,636,43884,21,42,29,2024-04-07,2022-04-01,24,Finance
ITEM1014,Laptops,LG Laptops 9970,LG,HQ-Warehouse,In Stock,5,698,3490,8,58,26,2024-09-05,2023-02-06,48,Engineering
ITEM1015,Laptops,Logitech Laptops 6877,Logitech,Branch-Seattle,Obsolete,66,631,41646,11,47,21,2024-01-13,2022-07-26,12,Finance
ITEM1016,Laptops,Samsung Laptops 1309,Samsung,Remote-Stock,In Stock,89,1110,98790,16,53,33,2024-03-12,2023-10-26,12,Sales
ITEM1017,Laptops,Dell Laptops 7511,Dell,Branch-Seattle,In Stock,19,794,15086,20,42,14,2024-07-01,2023-05-10,36,HR
ITEM1018,Laptops,Apple Laptops 7604,Apple,Branch-NY,In Stock,87,437,38019,17,39,29,2024-06-18,2023-08-01,12,Engineering
ITEM1019,Laptops,Cisco Laptops 5121,Cisco,HQ-Warehouse,Under Repair,39,1036,40404,15,48,27,2024-10-23,2024-02-10,48,Finance
ITEM1020,Laptops,ASUS Laptops 4968,ASUS,Branch-Seattle,Under Repair,71,554,39334,17,64,5,2024-06-05,2024-06-23,48,Sales
ITEM1021,Laptops,Dell Laptops 2636,Dell,Branch-Seattle,In Stock,96,1625,156000,17,56,21,2024-06-22,2023-05-27,48,Marketing
ITEM1022,Laptops,Microsoft Laptops 9920,Microsoft,Branch-LA,Out of Stock,0,162,0,19,43,21,2024-10-18,2023-01-11,36,Finance
ITEM1023,Laptops,Logitech Laptops 4709,Logitech,Branch-NY,Out of Stock,0,2040,0,20,66,18,2024-10-29,2023-08-08,48,Engineering
ITEM1024,Laptops,Logitech Laptops 9520,Logitech,Branch-NY,Under Repair,34,1679,57086,17,23,28,2024-06-17,2022-08-02,24,Operations
ITEM1025,Laptops,Cisco Laptops 4906,Cisco,HQ-Warehouse,Allocated,46,662,30452,8,54,29,2024-05-03,2024-07-14,24,HR
ITEM1026,Laptops,Dell Laptops 1674,Dell,Remote-Stock,Under Repair,43,1792,77056,12,35,7,2024-03-26,2022-02-15,12,Marketing
ITEM1027,Laptops,Apple Laptops 7590,Apple,Branch-Chicago,In Stock,74,1311,97014,7,27,33,2024-03-27,2023-08-05,12,Operations
ITEM1028,Laptops,Microsoft Laptops 2486,Microsoft,Branch-NY,Under Repair,1,1734,1734,24,31,27,2024-06-25,2023-04-12,12,Sales
ITEM1029,Laptops,Samsung Laptops 2702,Samsung,Branch-Seattle,In Stock,12,1075,12900,8,57,33,2024-09-20,2024-08-20,24,Marketing
