TransactionID,ItemID,TransactionDate,TransactionType,Quantity,UnitCost,Location,Department,Notes
TXN178,ITEM1014,2024-01-01,Purchase,1,688,HQ-Warehouse,Engineering,
TXN1252,ITEM1103,2024-01-01,Allocation,5,1849,Branch-Chicago,IT,
TXN1673,ITEM1139,2024-01-01,Purchase,1,1470,Branch-LA,Operations,
TXN2302,ITEM1192,2024-01-01,Purchase,8,653,Branch-NY,Operations,
TXN2869,ITEM1236,2024-01-01,Return,1,1551,Branch-NY,IT,Defective
TXN2888,ITEM1238,2024-01-01,Return,7,1006,Branch-Seattle,Marketing,Defective
TXN3276,ITEM1268,2024-01-01,Purchase,2,1449,Remote-Stock,Engineering,
TXN4582,ITEM1380,2024-01-01,Disposal,3,1589,Branch-NY,IT,End of life
TXN4684,ITEM1389,2024-01-01,Transfer,9,110,Remote-Stock,Marketing,
TXN5388,ITEM1445,2024-01-01,Purchase,4,649,Branch-LA,Engineering,
TXN5482,ITEM1452,2024-01-01,Purchase,7,601,Branch-NY,IT,
TXN5535,ITEM1455,2024-01-01,Purchase,10,505,Branch-Seattle,Operations,
TXN5847,ITEM1481,2024-01-01,Purchase,8,2100,HQ-Warehouse,Sales,
TXN6163,ITEM1509,2024-01-01,Transfer,2,1234,Remote-Stock,Marketing,
TXN6367,ITEM1525,2024-01-01,Transfer,4,959,Branch-Chicago,Marketing,
TXN7146,ITEM1592,2024-01-01,Purchase,4,1805,Remote-Stock,HR,
TXN7233,ITEM1601,2024-01-01,Return,8,1021,HQ-Warehouse,Sales,Defective
TXN8069,ITEM1668,2024-01-01,Return,8,781,Branch-Seattle,IT,Defective
TXN111,ITEM1010,2024-01-02,Return,7,1747,Remote-Stock,Operations,Defective
TXN185,ITEM1015,2024-01-02,Return,8,661,Branch-Seattle,Finance,Defective
TXN900,ITEM1075,2024-01-02,Transfer,4,435,Remote-Stock,IT,
TXN1045,ITEM1087,2024-01-02,Return,6,1166,HQ-Warehouse,HR,Defective
TXN1135,ITEM1093,2024-01-02,Allocation,8,2028,Branch-Seattle,Sales,
TXN1631,ITEM1135,2024-01-02,Transfer,7,186,Remote-Stock,Marketing,
TXN2121,ITEM1177,2024-01-02,Transfer,6,1082,Remote-Stock,Sales,
TXN2205,ITEM1185,2024-01-02,Transfer,7,1903,Remote-Stock,Operations,
TXN2524,ITEM1210,2024-01-02,Return,7,495,HQ-Warehouse,Operations,Defective
TXN2555,ITEM1212,2024-01-02,Return,7,218,Branch-NY,Engineering,Defective
