Vendor,TotalOrders,OnTimeDeliveries,OnTimeRate,DefectRate,AvgLeadTimeDays,VendorRating,LastAuditDate
Dell,26,23,88.5,3.86,21,3.1,2024-10-12
HP,54,47,87.0,0.71,19,3.6,2024-10-13
Lenovo,55,41,74.5,0.70,23,4.7,2024-10-08
Apple,28,23,82.1,3.41,20,4.0,2024-09-05
Microsoft,23,21,91.3,1.01,24,3.6,2024-08-10
Logitech,21,14,66.7,3.83,12,4.8,2024-08-06
Cisco,39,35,89.7,4.70,18,4.2,2024-08-23
ASUS,40,34,85.0,3.69,21,3.4,2024-09-29
Samsung,57,46,80.7,3.91,18,4.3,2024-08-06
LG,29,20,69.0,4.21,15,3.0,2024-08-03
