WarrantyID,ItemID,ItemName,Vendor,PurchaseDate,WarrantyMonths,WarrantyExpiryDate,WarrantyStatus,DaysToExpiry,HasExtendedWarranty
WAR1,ITEM1002,Apple Laptops 2118,Apple,2024-02-18,24,2026-02-18,Expiring Soon,84,No
WAR2,ITEM1003,Microsoft Laptops 8668,Microsoft,2024-04-21,36,2027-04-21,Active,511,No
WAR3,ITEM1005,LG Laptops 1096,LG,2024-02-12,36,2027-02-12,Active,443,No
WAR4,ITEM1007,Logitech Laptops 4874,Logitech,2022-11-28,12,2023-11-28,Expired,-729,Yes
WAR5,ITEM1008,Cisco Laptops 9466,Cisco,2023-11-14,48,2027-11-14,Active,718,No
WAR6,ITEM1010,Microsoft Laptops 1848,Microsoft,2024-07-15,48,2028-07-15,Active,962,Yes
WAR7,ITEM1011,LG Laptops 2869,LG,2022-11-22,24,2024-11-22,Expired,-369,No
WAR8,ITEM1013,Apple Laptops 2763,Apple,2022-04-01,24,2024-04-01,Expired,-604,No
WAR9,ITEM1014,LG Laptops 9970,LG,2023-02-06,48,2027-02-06,Active,437,Yes
WAR10,ITEM1015,Logitech Laptops 6877,Logitech,2022-07-26,12,2023-07-26,Expired,-854,Yes
WAR11,ITEM1016,Samsung Laptops 1309,Samsung,2023-10-26,12,2024-10-26,Expired,-396,No
WAR12,ITEM1017,Dell Laptops 7511,Dell,2023-05-10,36,2026-05-10,Active,165,Yes
WAR13,ITEM1018,Apple Laptops 7604,Apple,2023-08-01,12,2024-08-01,Expired,-482,No
WAR14,ITEM1020,ASUS Laptops 4968,ASUS,2024-06-23,48,2028-06-23,Active,940,No
WAR15,ITEM1022,Microsoft Laptops 9920,Microsoft,2023-01-11,36,2026-01-11,Expiring Soon,46,No
WAR16,ITEM1025,Cisco Laptops 4906,Cisco,2024-07-14,24,2026-07-14,Active,230,No
WAR17,ITEM1026,Dell Laptops 1674,Dell,2022-02-15,12,2023-02-15,Expired,-1015,No
WAR18,ITEM1028,Microsoft Laptops 2486,Microsoft,2023-04-12,12,2024-04-12,Expired,-593,Yes
WAR19,ITEM1030,ASUS Laptops 8622,ASUS,2022-11-05,12,2023-11-05,Expired,-752,No
WAR20,ITEM1031,HP Laptops 1517,HP,2023-07-11,24,2025-07-11,Expired,-138,No
WAR21,ITEM1032,Cisco Laptops 2518,Cisco,2022-12-29,48,2026-12-29,Active,398,Yes
WAR22,ITEM1034,Samsung Laptops 2392,Samsung,2024-05-28,12,2025-05-28,Expired,-182,No
WAR23,ITEM1035,Lenovo Laptops 1677,Lenovo,2022-10-20,48,2026-10-20,Active,328,Yes
WAR24,ITEM1036,Cisco Laptops 8057,Cisco,2022-01-24,36,2025-01-24,Expired,-306,No
WAR25,ITEM1037,Logitech Laptops 1375,Logitech,2024-05-30,48,2028-05-30,Active,916,No
WAR26,ITEM1038,Lenovo Laptops 4326,Lenovo,2024-06-14,12,2025-06-14,Expired,-165,Yes
WAR27,ITEM1039,Cisco Laptops 5891,Cisco,2023-02-06,48,2027-02-06,Active,437,No
